V_25,p_25h,p_25r,p_25m,V_m25,uV_m25,,V_43,p_43h,p_43r,p_43m,V_m43,uV_m43,,V_35,p_35,p_35,p_35m,V_m35,uV_m35,,V_30,p_30h,p_30r,p_30m,V_m30,uV_m30,,V_40,p_40h,p_40r,p_40m,V_m40,uV_m40,,V_50,p_50h,p_50r,p_50m,V_m40,uV_m40
3.65,15,16,15.5,1.37891953154515,0.025273227560812,,3.4,17,17,17,1.28447298828863,0.023791497758042,,3.7,16,15,15.5,1.39780884019645,0.025571368629092,,3.75,14.7,14.9,14.8,1.44508670520231,0.02529511627101,,3.75,15.5,15.7,15.6,1.44508670520231,0.02529511627101,,3.75,16.3,16.4,16.35,1.44508670520231,0.02529511627101
3.2,16,17,16.5,1.20891575368342,0.022618293644248,,3,19,20,19.5,1.1333585190782,0.021457840934244,,3.4,16.5,16.5,16.5,1.28447298828863,0.023791497758042,,3.50,15.6,15.8,15.7,1.34874759152216,0.023860778137939,,3.50,16.5,16.5,16.5,1.34874759152216,0.023860778137939,,3.50,17.2,17.3,17.25,1.34874759152216,0.023860778137939
3,17,18,17.5,1.1333585190782,0.021457840934244,,2.7,20.5,21,20.75,1.02002266717038,0.019745982465705,,3.2,17,17,17,1.20891575368342,0.022618293644248,,3.25,16.5,16.7,16.6,1.252408477842,0.022443107054904,,3.25,17.6,17.6,17.6,1.252408477842,0.022443107054904,,3.25,18.5,18.5,18.5,1.252408477842,0.022443107054904
2.7,18,19,18.5,1.02002266717038,0.019745982465705,,2.6,21,2.6,11.8,0.982244049867775,0.01918442240593,,3,18,18,18,1.1333585190782,0.021457840934244,,3.00,17.6,17.9,17.75,1.15606936416185,0.021045471483285,,3.00,18.6,18.8,18.7,1.15606936416185,0.021045471483285,,3.00,19.8,19.7,19.75,1.15606936416185,0.021045471483285
2.6,19,19.5,19.25,0.982244049867775,0.01918442240593,,2.4,22.5,23,22.75,0.906686815262561,0.018077429528479,,2.8,19,19,19,1.05780128447299,0.020312325226733,,2.75,18.8,19.0,18.9,1.0597302504817,0.019672142241646,,2.75,20.1,20,20.05,1.0597302504817,0.019672142241646,,2.75,21,21.1,21.05,1.0597302504817,0.019672142241646
2.4,20,20.5,20.25,0.906686815262561,0.018077429528479,,2.2,24,24,24,0.831129580657348,0.016995432975964,,2.6,20,20,20,0.982244049867775,0.01918442240593,,2.50,20.3,20.4,20.35,0.963391136801541,0.018328583839001,,2.50,21.5,21.5,21.5,0.963391136801541,0.018328583839001,,2.50,22.7,22.8,22.75,0.963391136801541,0.018328583839001
2.2,21,21,21,0.831129580657348,0.016995432975964,,2,25.5,25,25.25,0.755572346052135,0.01594352263771,,2.4,21.5,21.5,21.5,0.906686815262561,0.018077429528479,,2.25,21.7,21.9,21.8,0.867052023121387,0.017021847298603,,2.25,23.2,23.2,23.2,0.867052023121387,0.017021847298603,,2.25,24.5,24.5,24.5,0.867052023121387,0.017021847298603
2,22,21,21.5,0.755572346052135,0.01594352263771,,1.7,27.5,28,27.75,0.642236494144314,0.014436411011433,,2.2,22,22.5,22.25,0.831129580657348,0.016995432975964,,2.00,23.4,23.5,23.45,0.770712909441233,0.015761093874365,,2.00,25.1,25,25.05,0.770712909441233,0.015761093874365,,2.00,26.8,26.6,26.7,0.770712909441233,0.015761093874365
1.7,22.5,21,21.75,0.642236494144314,0.014436411011433,,1.6,29,30,29.5,0.604457876841708,0.013957002663274,,2,24,24,24,0.755572346052135,0.01594352263771,,1.75,25.0,25.1,25.05,0.674373795761079,0.014558274950078,,1.75,27.3,27.2,27.25,0.674373795761079,0.014558274950078,,1.75,29.1,29.1,29.1,0.674373795761079,0.014558274950078
1.6,23,21.5,22.25,0.604457876841708,0.013957002663274,,1.4,31,30,30.5,0.528900642236494,0.01304027455721,,1.8,25.5,26,25.75,0.680015111446921,0.014928059972187,,1.50,27.0,26.0,26.5,0.578034682080925,0.013428966962262,,1.50,29.5,29.4,29.45,0.578034682080925,0.013428966962262,,1.50,32.2,31.6,31.9,0.578034682080925,0.013428966962262
